Local Government Area,2014,2015,2016,2017,2018,2019,2020
ALPINE,20.0,25.0,14.0,12.0,11.0,13.0,17.0
BENALLA,42.0,38.0,40.0,46.0,41.0,33.0,21.0
Ballarat,296.0,161.0,144.0,131.0,111.0,75.0,60.0
Banyule,75.0,54.0,48.0,50.0,49.0,25.0,18.0
Bass Coast,65.0,54.0,37.0,43.0,34.0,29.0,31.0
Baw Baw,86.0,63.0,31.0,52.0,29.0,20.0,24.0
Bayside,73.0,65.0,75.0,74.0,54.0,40.0,24.0
Boroondara,95.0,89.0,80.0,75.0,53.0,47.0,23.0
Brimbank,153.0,146.0,141.0,130.0,145.0,144.0,108.0
CAMPASPE,139.0,83.0,65.0,45.0,30.0,36.0,24.0
CENTRAL GOLDFIELDS,40.0,39.0,37.0,19.0,26.0,23.0,12.0
COLAC-OTWAY,68.0,36.0,52.0,34.0,25.0,20.0,27.0
Cardinia,85.0,78.0,67.0,50.0,74.0,58.0,44.0
Casey,164.0,153.0,139.0,114.0,124.0,123.0,83.0
Darebin,111.0,124.0,101.0,83.0,82.0,61.0,57.0
East Gippsland,142.0,131.0,93.0,100.0,79.0,74.0,47.0
Frankston,485.0,387.0,271.0,281.0,224.0,192.0,132.0
GLENELG,91.0,50.0,30.0,36.0,35.0,26.0,28.0
GREATER GEELONG,458.0,400.0,296.0,261.0,341.0,306.0,184.0
Glen Eira,123.0,124.0,161.0,124.0,120.0,99.0,55.0
Greater Bendigo,349.0,258.0,200.0,184.0,241.0,167.0,187.0
Greater Dandenong,488.0,496.0,514.0,477.0,501.0,376.0,228.0
Greater Shepparton,174.0,133.0,124.0,167.0,171.0,95.0,108.0
Hobsons Bay,94.0,64.0,54.0,72.0,61.0,50.0,34.0
Horsham,61.0,47.0,55.0,34.0,42.0,34.0,15.0
Hume,127.0,109.0,124.0,123.0,122.0,95.0,70.0
Kingston,218.0,201.0,164.0,132.0,153.0,130.0,78.0
Knox,120.0,134.0,91.0,59.0,77.0,69.0,37.0
Latrobe,253.0,262.0,228.0,190.0,177.0,125.0,100.0
MITCHELL,73.0,44.0,60.0,39.0,59.0,58.0,42.0
MOORABOOL,29.0,21.0,9.0,17.0,9.0,22.0,8.0
Macedon Ranges,19.0,23.0,14.0,24.0,17.0,14.0,13.0
Manningham,14.0,25.0,18.0,21.0,19.0,21.0,16.0
Maribyrnong,230.0,141.0,119.0,136.0,139.0,91.0,61.0
Maroondah,140.0,149.0,125.0,149.0,135.0,128.0,124.0
Melbourne,2413.0,1935.0,1691.0,1777.0,1822.0,1534.0,665.0
Melton,68.0,45.0,39.0,34.0,34.0,46.0,33.0
Merri-bek,129.0,90.0,107.0,122.0,126.0,81.0,48.0
Mildura,293.0,227.0,293.0,291.0,215.0,159.0,101.0
Monash,124.0,94.0,110.0,100.0,147.0,84.0,64.0
Moonee Valley,118.0,101.0,94.0,110.0,135.0,83.0,26.0
Mornington Peninsula,326.0,352.0,430.0,482.0,319.0,225.0,171.0
NORTHERN GRAMPIANS,68.0,35.0,42.0,19.0,20.0,13.0,13.0
Port Phillip,499.0,409.0,310.0,344.0,312.0,224.0,126.0
South Gippsland,6.0,10.0,11.0,15.0,11.0,3.0,6.0
Stonnington,384.0,276.0,236.0,244.0,307.0,199.0,142.0
Surf Coast,28.0,23.0,12.0,14.0,27.0,23.0,13.0
Swan Hill,80.0,76.0,71.0,57.0,31.0,45.0,20.0
WHITTLESEA,52.0,59.0,51.0,49.0,77.0,54.0,43.0
Wangaratta,111.0,160.0,71.0,88.0,79.0,29.0,36.0
Warrnambool,90.0,61.0,74.0,103.0,83.0,67.0,51.0
Wellington,54.0,64.0,78.0,56.0,55.0,42.0,8.0
Whitehorse,68.0,76.0,80.0,72.0,80.0,48.0,53.0
Wodonga,54.0,40.0,37.0,33.0,38.0,24.0,29.0
Wyndham,124.0,104.0,117.0,124.0,124.0,137.0,82.0
Yarra,486.0,383.0,290.0,295.0,291.0,265.0,176.0
Yarra Ranges,138.0,119.0,102.0,81.0,83.0,61.0,43.0
